Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj_Close
1/6/2023,144.74,9.76,40504400,7.61,4.16%,144.3591717,142.58,148.52
1/9/2023,152.84,9.15,50423100,7.7,5.18%,146.171621,148.52,156.2
1/10/2023,155.07,4.9,38410100,7.58,1.80%,149.1001843,156.2,159.01
1/11/2023,158.4,4.65,35328500,7.55,0.58%,154.5774943,159.01,159.93
1/12/2023,161,11.45,55140900,7.74,3.19%,158.3822887,159.93,165.03
1/13/2023,162.78,7.57,44728700,7.65,2.35%,161.3241833,165.03,168.91
1/17/2023,168.99,8.29,51110200,7.71,4.75%,164.622569,168.91,176.93
1/18/2023,176.67,5.91,43962400,7.64,-1.84%,170.28979,176.93,173.68
1/19/2023,170.36,4.66,45293200,7.66,-3.52%,173.1750387,173.68,167.57
1/20/2023,170.11,10.31,56496700,7.75,6.41%,172.728592,167.57,178.3
1/23/2023,180.64,14.27,65516300,7.82,7.59%,173.1850383,178.3,191.84
1/24/2023,188.27,6.75,49620400,7.7,0.38%,179.2353923,191.84,192.56
1/25/2023,189.13,7.9,44953700,7.65,0.30%,187.564631,192.56,193.14
1/26/2023,197.01,8.88,48953500,7.69,2.48%,192.5088703,193.14,197.92
1/27/2023,194.62,12.23,54214200,7.73,2.84%,194.5378823,197.92,203.55
1/30/2023,199.5,9.9,48861100,7.69,-5.91%,198.2027587,203.55,191.53
1/31/2023,191.7,7.37,49801700,7.7,1.96%,197.666356,191.53,195.27
2/1/2023,196.91,15.81,66047700,7.82,7.20%,196.783447,195.27,209.33
2/2/2023,210,12.49,56427600,7.75,3.66%,198.7091623,209.33,216.98
2/3/2023,210,9.56,42936600,7.63,-2.81%,207.1949973,216.98,210.9
2/6/2023,208.06,7.84,45219700,7.66,-0.05%,212.4024457,210.9,210.79
2/7/2023,213.82,11.09,66415000,7.82,5.14%,212.8888807,210.79,221.62
2/8/2023,223.87,8.7,55965100,7.75,0.14%,214.434784,221.62,221.94
2/9/2023,226.06,9,52387600,7.72,0.59%,218.1163127,221.94,223.26
